AuthorID,Author,Date,Content,Attachments,Reactions
"363159629741555713","pranav375","2021-04-07T23:40:07.5480000-04:00","UCSD-2020-2024 ayy","","vibecat (45),peepocelebrate (34),tada_animated (19),naeleft (7),naeright (8),prismic_groove (7),snoocool (7),upvoteultramegasupreme (7),roohappy (6),pikaoh (6),duckheart (7),witchfroggie (6),peepoyes (8),prayingemoji (7),prayingreversed (7),meowlu (6),debbieryan (6),dab (6),carlheart (6),stonks (6)"
"675886928737992735","rose.ate","2021-04-07T23:41:04.7630000-04:00","This is a Canisius supremacy post 🥳 hmu if you're near Buffalo New York or wanna know more about Canisius even if its like years later 🙏","","🥳 (34),tada_animated (16),peepocelebrate (12),naeleft (8),naeright (7),prismic_groove (6),duckheart (6),snoocool (6),roohappy (6),upvoteultramegasupreme (6),pikaoh (6),blobheart (6),stonks (6),witchfroggie (6),dab (6),peepoyes (6),prayingemoji (6),prayingreversed (6),debbieryan (6)"
"173636229982584832","abstract.nonsense","2021-04-07T23:42:44.2720000-04:00","poggie Harvard '22-'23, who's joining me :dab:","","alphay (56),🥳 (41),tada_animated (18),richardmoment (6),prismic_groove (5),naeleft (5),naeright (5),alphah (10),alphaa (8),alphar (8),alphav (8),🅰️ (8),🇷 (9),alphad (9),snoocool (6),stonks (5),pikaoh (5),dab (5)"
"389987802772930571","vanilla.rice","2021-04-07T23:44:07.1730000-04:00","Enrolled in my CC 😎👉👉","","blobheart (62),👍 (46),alphac (46),🇨 (39),tada_animated (23),🥳 (20),naeright (8),prismic_groove (7),duckheart (8),peepocelebrate (7),dab (7),pikaoh (7),stonks (7),witchfroggie (8),debbieryan (7),meowlu (8),upvoteultramegasupreme (9),roohappy (8)"
"234837385186246666","andrewnotdrew","2021-04-07T23:48:15.6670000-04:00","Cornell HumEc 2025!","","🥳 (36),🌽 (22),tada_animated (18),prismic_groove (6),naeleft (5),naeright (4),peepocelebrate (4),snoocool (4),pikaoh (4),upvoteultramegasupreme (4),debbieryan (4),stonks (5),witchfroggie (4),dab (5),👍 (4),meowlu (4),peepoyes (4),carl_cowboy (4),☺️ (4)"
"668154732010930179","javi3.","2021-04-07T23:48:26.9440000-04:00","Swarthmore 25, this is LAC supremacy post 😉","","🥳 (36),peepocelebrate (23),👏 (20),alphaj (19),alphaa (18),alphav (18),alphai (17),tada_animated (17),duckheart (6),naeleft (6),naeright (6),prismic_groove (6),snoocool (6),roohappy (6),dab (6),stonks (6),debbieryan (6),witchfroggie (6)"
"601464575350538250","jasmine2704","2021-04-08T00:00:50.4620000-04:00","Carnegie Mellon '25","","prayingemoji (36),🥳 (39),👏 (21),tada_animated (20),carlweary (10),alphac (12),alpham (12),alphau (12),typing (7),peepocelebrate (7),duckheart (7),blobheart (7),prismic_groove (7),stonks (7),upvoteultramegasupreme (7),pleadinghearts (7),roohappy (7),witchfroggie (7),naeleft (7)"
"224651426826158080","pi3.","2021-04-08T01:17:12.3870000-04:00","YALE '25! :carlvibe: ||~~hey mit don't tell yale but if you let me in thru the wl i'll switch in a heartbeat 👀~~ haha mit definitely didn't reject me off the waitlist i was committed to yale the whole time yes ||","","🥳 (56),prismic_groove (36),👀 (39),tada_animated (20),🇾 (21),🅰️ (21),🇱 (21),🇪 (20),alphay (28),naeright (7),duckheart (7),peepocelebrate (8),snoocool (8),roohappy (9),upvoteultramegasupreme (9),dab (7),pikaoh (7),carlheart (7)"
"766771819658870784","vampyvv","2021-04-08T01:44:57.6300000-04:00","NYU '25 :pleadinghearts:","","🥳 (48),kermlove (33),blobhug (32),tada_animated (19),duckheart (7),prismic_groove (7),naeleft (7),naeright (7),dab (7),witchfroggie (7),meowlu (8),peepocelebrate (7),meowhearts (7),carlheart (7),debbieryan (7),stonks (7),peepoyes (7),snoocool (7),upvoteultramegasupreme (8),carlblush (7)"
"516805553859723275","kiley0254","2021-04-08T02:00:33.1780000-04:00","**Please keep this channel to commitments only! Congratulations and further discussions can happen in dms or other appropriate channels :)**","","🇴 (2),🇰 (2)"
